照片,时间/s,X向力/N,Y向力/N
Img000005.jpg,0.1050,0.000000,0.000000
Img000006.jpg,0.1249,96.650000,-0.220000
Img000007.jpg,0.1449,119.650000,-0.220000
Img000008.jpg,0.1648,143.150000,-0.220000
Img000009.jpg,0.1847,166.650000,-0.220000
Img000010.jpg,0.2047,190.150000,-0.220000
Img000011.jpg,0.2246,209.504839,-0.220000
Img000012.jpg,0.2445,226.150000,-0.220000
Img000013.jpg,0.2645,249.650000,0.280000
Img000014.jpg,0.2844,273.650000,-0.220000
Img000015.jpg,0.3044,296.650000,-0.220000
Img000016.jpg,0.3243,319.150000,-0.220000
Img000017.jpg,0.3442,331.650000,-0.220000
Img000018.jpg,0.3642,355.150000,-0.220000
Img000019.jpg,0.3841,378.650000,-0.220000
Img000020.jpg,0.4040,401.650000,-0.220000
Img000021.jpg,0.4240,424.150000,-0.220000
Img000022.jpg,0.4439,435.150000,-0.220000
Img000023.jpg,0.4638,458.650000,-0.220000
Img000024.jpg,0.4838,481.650000,-0.220000
Img000025.jpg,0.5037,503.650000,-0.220000
Img000026.jpg,0.5236,526.150000,0.280000
Img000027.jpg,0.5436,543.537097,-0.010323
Img000028.jpg,0.5635,559.150000,-0.220000
Img000029.jpg,0.5835,581.650000,-0.220000
Img000030.jpg,0.6034,604.150000,-0.220000
Img000031.jpg,0.6233,625.650000,-0.220000
Img000032.jpg,0.6433,647.150000,-0.220000
Img000033.jpg,0.6632,657.650000,-0.220000
Img000034.jpg,0.6831,679.650000,-0.220000
Img000035.jpg,0.7031,701.150000,-0.220000
Img000036.jpg,0.7230,721.650000,-0.220000
Img000037.jpg,0.7429,742.150000,-0.220000
Img000038.jpg,0.7629,752.150000,-0.220000
Img000039.jpg,0.7828,773.650000,-0.220000
Img000040.jpg,0.8027,793.650000,-0.220000
Img000041.jpg,0.8227,813.650000,-0.220000
Img000042.jpg,0.8426,833.650000,-0.220000
Img000043.jpg,0.8625,848.408065,-0.220000
Img000044.jpg,0.8825,862.150000,-0.220000
Img000045.jpg,0.9024,881.650000,-0.220000
Img000046.jpg,0.9224,901.150000,-0.220000
Img000047.jpg,0.9423,919.650000,-0.220000
Img000048.jpg,0.9622,938.150000,-0.220000
Img000049.jpg,0.9822,947.150000,-0.220000
Img000050.jpg,1.0021,965.650000,-0.220000
Img000051.jpg,1.0220,984.150000,-0.220000
Img000052.jpg,1.0420,1002.150000,-0.220000
Img000053.jpg,1.0619,1019.650000,-0.220000
Img000054.jpg,1.0818,1028.150000,-0.220000
Img000055.jpg,1.1018,1046.150000,0.280000
Img000056.jpg,1.1217,1063.650000,0.280000
Img000057.jpg,1.1416,1080.150000,-0.220000
Img000058.jpg,1.1616,1096.650000,-0.220000
Img000059.jpg,1.1815,1108.795161,-0.220000
Img000060.jpg,1.2015,1121.650000,-0.220000
Img000061.jpg,1.2214,1137.650000,-0.220000
Img000062.jpg,1.2413,1153.650000,-0.220000
Img000063.jpg,1.2613,1170.150000,-0.220000
Img000064.jpg,1.2812,1184.150000,-0.220000
Img000065.jpg,1.3011,1089.150000,-0.220000
Img000066.jpg,1.3211,624.650000,-0.220000
Img000067.jpg,1.3410,135.650000,0.280000
